sl No,item_code,item_description
2487,454, Supplying and fixing of Deep seal trap in PVC 110 mm dia of best approved quality with ISI mark (Trap shall be got approved from the Executive Engineer before use.) including labour charges for fixing with all accessories etc. all complete complying with relevant standard specification and as directed by the departmental officers.
2488,455,Supplying and fixing of Health Faucet approved quality with ISI mark (Health facet shall be got approved from the E.E. before use.) including all accessories etc. complete complying with relevant standard specifications and as directed by the departmental officers.
2489,455,"Supplying and fixing of best approved quality stainless steel Health Faucet confirming to I.S. specification including cost and labour charges for fixing etc., complete complying with relevent standard specifications and as directed by the departmental officers (The brand and quality of the materials should be got approved from the EE before use)"
2490,455.1,Supplying and fixing of C.P. 3 way adjustable shower of best approved quality with ISI mark. (shower shall got be approved by the Executive Engineer before use) including labour charges for fixing required materials etc. all complete and as directed by the departmental officers.
2491,456,"Supply and fixing of oval shape wash basin colour of size 550 x 430mm of best approved quality with ISI mark including cost and fixing of bracket, PVC waste pipe, required grating, C.P.trap, Bob cock, PVC connections, C.P.waste plug with aluminium chain including labour charges for fixing clamps screws and solution of white cement etc. all complete in all respects as directed by the departmental officers. (The brand and quality of the wash basin should be got approved from the Executive Engineer before use.)"
2492,459,"Supply and fixing of Pedestal type colour wash basin of size 550x400mm of best approved quality with ISI mark including cost and fixing of bracket, PVC waste pipe, required grating, C.P.trap, Bob cock, PVC connections, C.P.waste plug with aluminium chain including labour charges for fixing clamps screws and solution of white cement etc. all complete in all respects as directed by the departmental officers. (The brand and quality of the wash basin should be got approved from the Executive Engineer before use.)"
2493,462,"Supply and fixing of oval shape wash basin colour of size 550 x 430mm of best approved quality with ISI mark including cost and fixing of bracket, PVC waste pipe, required grating, C.P.trap, Bob cock, PVC connections, C.P.waste plug with aluminium chain including labour charges for fixing clamps screws and solution of white cement etc. all complete in all respects as directed by the departmental officers. (The brand and quality of the wash basin should be got approved from the Executive Engineer before use.)"
2494,463,"Supplying and fixing of circular bowl shape procelain colour 450mm dia wash basin superior variety including cost and fixing of brackets, pvc waste pipe required grating, cp tap, wheel valve/ Bob cork, pvc, connection, cp waste plug, with aluminium chain etc., complete in all respects (circular bowl shape washbasin shall be got approved by the Executive Engineer before fixing)"
2495,463,"Supply and fixing of Pedestal type colour wash basin of size 550x400mm of best approved quality with ISI mark including cost and fixing of bracket, PVC waste pipe, required grating, C.P.trap, Bob cock, PVC connections, C.P.waste plug with aluminium chain including labour charges for fixing clamps screws and solution of white cement etc. all complete in all respects as directed by the departmental officers. (The brand and quality of the wash basin should be got approved from the Executive Engineer before use.)"
2496,463.1,Providing and fixing wall paneling with best country wood scantling of size 50 x 25 mm at 600 mm c/c both ways and fixed into wall with proper inserts and it should be fixed with 6 mm thick BWR ply wood with ISI mark and pasted in the laminated sheet 1 mm thick including cost and conveyance of all materials including labour charges etc. complete as directed by the departmental officers. (The materials should be got approved from EE before use.).  
2497,463.1,"Providing wall panelling with 12mm thick Teak wood plank around 2 "" x 1"" teak wood repairs fixed vertically on wall by screws our wooden plugs at 25cm centre to centre as base. Teak wood beeding of size 11/2"" x 11/2"" has to fixed vertically over the teak wood plant at 11cm centre to centre. The top to be covered with using 2"" x 1"". Teak wood ornamental type beeding. All the beeding and planks are to be polished with teak wood polish (or) varnished so as to give glossy appearance. The cost including all materials, conveyance, labour charges and as directed by the Departmental Officers."
2498,463.2,"Supply and fixing of Pedestal type white colour wash basin of size 550x400mm of best approved quality with ISI mark including cost and fixing of bracket, PVC waste pipe, required grating, C.P.trap, Bob cock, PVC connections, C.P.waste plug with aluminium chain including labour charges for fixing clamps screws and solution of white cement etc. all complete in all respects as directed by the departmental officers. (The brand and quality of the wash basin should be got approved from the Executive Engineer before use.)"
2499,463.3,Providing Plywood partition with Country Wood frames of sizes 75x32mm and covering the frames both sides with 6mm thick plywood including labour for fixing etc complete and as directed by the departmental officers. 
2500,465,"Supplying and erecting Pull and Push type Rolling Grill with ISI monogram electrically operated (motorized collapsible gate) with ISI mark of approved size and section. The cost including all materials, M.S. motor and rails, handles locking arrangements, wheel rivet, etc required all materials and labour charges for making gate and all tools and plants required, transporting charges, fixing of collapsible gate etc. all complete as per the relevant standard specifications and as directed by the departmental officers (All materials shall be got approved by the EE before use."
2501,465.1,"Supplying and fixing of Push and Pull type steel Rolling shutters (Manually Operated up to 8m2 area) of best approved quality to the required size using 10 gauge channels, 14 gauge brackets, 18 gauge stripper side and using ‘c’ class MS pipe with required springs, drum wall bearing, locking arrangements with one coat of red oxide, primer, fixing etc., complete in all respects as directed by the departmental officers. (The quality and brand of entire components of rolling shutters shall be got approved from the Executive Engineer before use)."
2502,465.3,"Supplying and fixing wall panelling of Aluminium frame 2""x1"" and 18mm thick MDF board one side pre laminated board with ISI mark ncessary M.S clips, nails, synthetic adhesive, decorative beedings 40x15mm of approved make (ISI) including varnishing with two coats for decorative beeding and nails using best quality of wine varnish with neat finish, coat of all materials, labour charges, hire charges for tools and plants, conveyance charges etc., all complete in all respects as directed by the departmental officers. (The brand and quality should be got approved from the Executive Engineer before use.)"
2503,465.3.1,"Providing wall panelling using 19mm BWR plywood over 2""x1"" aluminium channnel to be fixed on wall and supply and laying of 1mm mica sheet in between providing 50mm glass wool for acoustic purpose including cost and labour for fixing aluminium channel, 19mm BWR plywood, 1mm mica sheet with PVC clamp, TW plugs and screws and SR bond for pasting as per specification etc., all complete and as directed by the departmental officers. (The brand and quality shall be got approved from user department and Executive Engineer before supply)"
2504,465.4,"Supplying and fixing of  Teak wood wall panelling with 18mm thick BWR ply wood board including cost of all materials , labour charges ncessary M.S clips, nails, synthetic adhesive, decorative beedings of approved make (ISI) including varnishing with two coats and hire charges for tools and plants, conveyance charges etc., all complete in all respects as directed by the departmental officers. (The brand and quality should be got approved from the Executive Engineer before use.)"
2505,465.4.1,"Supplying and fixing of Teak wood Partition with 18mm thick BWR ply wood board including cost of all materials , labour charges ncessary M.S clips, nails, synthetic adhesive, decorative beedings of approved make (ISI) including varnishing with two coats and hire charges for tools and plants, conveyance charges etc., all complete in all respects as directed by the departmental officers. (The brand and quality should be got approved from the Executive Engineer before use.)"
2506,465.4.2,"Barricading work for water main to prevent falling down into the trenches, trespassing, by providing casurina post vertically and horizontally at required intervals tied with ropes and fixing red lamp etc. all complete as per the relevant standard specification and as directed by departmental officers (10% of the earth work excavation quantity involved in laying water line alone shall be considered for payment)"
2507,465.5.3,"Supplying and fixing of wall tiles corner PVC beading including all labour charges, cost of material etc., all complete. (The quality and brand shall be got approved from the EE before use)"
2508,467,"Supplying and fixing of Push and Pull type steel Rolling shutters ( Manually Operated up to 8m2 area) of best approved quality to the required size using 10 gauge channels, 14 gauge brackets, 18 gauge stripper side and using ‘c’ class MS pipe with required springs, drum wall bearing, locking arrangements with one coat of red oxide, primer, fixing etc., complete in all respects as directed by the departmental officers. (The quality and brand of entire components of rolling shutters shall be got approved from the Executive Engineer before use)."
2509,467.1,"Clearing the scrub jungle available in the site and removing the same and disposing off as directed by the departmental officers. The cost include uprooting roots if any, all tools and plants required etc. all complete as per relevant standard specifications and as directed by the departmental officers."
2510,467.1,"Supplying and filling with red earth of approved best quality for court portion including cost and conveyance of red earth of approved quality, labour charges for watering with soft potable water and including cost and lead of water, conveyance, loading and unloading and spreading of red earth and consolidated by using power roller 8to 10MT capacity including cost of tools and plants hire charges for power roller fuel charges, labour charges, cost of materials, etc. all complete complying with relevant standard specifications and  as directed by the departmental officers. (Payment shall be made for the consolidated quantity only)"
2511,469,Tennis Net Post
2512,470,"Clearing the dismantled debries from the site and Clearing the debries away from the site (24 KM) including loading, conveyance charges unloading labour charges etc all complete and as directed by the departmental officer."
2513,470.1,"Supplying and erecting of 4” dia GI pipe, 2 nos  with ISI  mark to the required height with necessary earth work, foundation concrete, cutting threading, jointing the  GI pipe including the cost of GI pipes wherever necessary pully, hooks, Ratchet and a nylon net of required standards,  cost of a judge stand etc complete as per the requirements of sports authority specifications with painting 2 coats using 1st class synthetic enamel paint etc complete. Complying with relevant standard specifications and as directed by the departmental officer. (The pipe, the nylon net and judge stand should be got approved by the Executive Engineer before use.)"
2514,471,"Supplying and filling with Red Earth of approved best quality  including cost and conveyance of red earth , labour charges for watering with soft potable water and including cost and lead of water, conveyance, loading and unloading and spreading of red earth and consolidated by using power roller 8to 10MT capacity including cost of tools and plants hire charges for power roller fuel charges, labour charges, cost of materials, etc. all complete complying with relevant standard specifications and  as directed by the departmental officers. "
2515,471.1,Basket Ball-Fibre Board
2516,472,"Supplying and erecting of Basket Ball Board made up of acrylic fibre glass transparent sheet 20 mm thick of approved quality with iron ring of required dia with nylon net of required standards over the existing erected Basket ball posts with necessary bolts and nuts, rope tying cost of material and labour charges and aligning etc complete to the required standards of sports authority etc complete. Complying with relevant standard specifications and as directed by the departmental officer.  (The board, net  should be got approved by the Executive Engineer before use ) "
2517,474,"Supplying and erecting of Volley Ball Court Net Post using 3” dia GI pipe of ISI mark to the required height  with necessary  nylon net of  required standards including fixing with necessary clamps  bolts and nuts, earth work, foundation concrete etc complete as per the standard specification of sports authority etc complete. Complying with relevant standard specifications and as directed by the departmental officer. (The net, post GI pipe should got approved by the Executive Engineer before use.)"
2518,477,"Supplying and erecting of hockey goal post including fabricating of post with back supports with nylon goal net of best quality of ISI with necessary rope pully hooks, earth work, foundation concrete etc all complete as per the required standards of sports authority etc complete. Complying with relevant standard specifications and as directed by the departmental officer. (The goal post should got approved by the Executive Engineer before use). "
2519,478,"Supplying and fixing of foot ball goal using 4” dia GI pipe with ISI mark to the required height with necessary nylon goal net of approved best quality as per the standards of the sports authority including the cost of GI pipe, net, pully, clamp, rope earth work, concrete painting 2 coats etc complete as per the standard specification etc complete. Complying with relevant standard specifications and as directed by the departmental officer. (The G.I. pipe nylon Net Post should be got approved by the executive engineer before use)Cutting the high ground and filling for formation of road /road sides in the low lying area of the road portion with the same earth including spreading in layers of 150mm thick and consolidation with power roller of capacity 8 to 10 MT including cost of all tools and plants hire charges for roller, fuel charges, etc. all complete as per relevant standard specifications and as directed by departmental officers. (payment shall be made to the consolidated quantity)"
2520,481,"Providing DOUBLE ROPE CRAWL  ( as per drawing enclosed) made up of best approved quality M.S seemless pipe 2 ½ “ dia rope as furnished below. 16 nos. of vertical posts of 4 ½ “ dia 6 mm thick pipe of 10’0” length/ each making 8nos of frames with 2 nos. of pipes having 1’3” gap jointed with 10 nos. of ‘L’ angles from each pole frame as steps to climb and to get down at 1’0” intervals and the frames fixed in two rows at 6’0” centers with a distance 3’6” between two rows in cement concrete 1:5:10 ( one of cement five of sand and ten of 40 mm stone jelly ) laid at 80 cm cepth below ground level to a size of 90 cm x 90 cm x 20 cm thick and C.C. 1:2:4 ( One of cement, two of sand and four of 20 mm hard broken stone jelly) for the remaining depth with necessary earth work excavation, two number of 3” dia, 4 mm thick best approved quality seemless pipe to a length of 18’0”/each fixed on the top of the frames by welding with necessary specials and accessories 8 nos 2 ½” dia rope of length 36’ 0” /each fixed rigidly with G.I. hooks, laps, screws, bolts and nuts welding on the top of the frames, two ropes for each frame to withstand the body weight of the crawling person inclusive of cost of pipes, rope, required specials, fixing in position, laying, curing, finishing and painting the iron work two coats using 1st class synthetic enamel  paint, labour charges, conveyance etc. complete complying with relevant standard specifications, sports authority standards and as directed by the departmental officers. (The pipe, rope, stay wire etc. should be got approved from the Exe. Engr. before use)"
2521,483,"Providing ‘TARZON  SWING ‘ (as per drawing enclosed ) with 2 nos.of 60 cm thick brick walls in Cement mortar 1:5 ( One of cement and five of sand) using chamber burnt stock bricks of size 23 x 11.4 x 7.5 cm to a length of 24’0” and height wall (1) 8’6” with suitable ladder arrangements and wall (2) 7’0” from G.L. parallel to each with 40’0” clear distance between the walls over the foundation concrete 1:5:10 ( One of cement,  five of cement and ten of 40 mm hard broken stone jelly) 20 cm thick to a width of 90 cm laid at below 150 cm from G.L. and 60 cm depth width wall in brick work in C.M.1:5 ( One of cement and five of sand) using stock bricks of size 23 x 11.4 x 7.5 cm to the remaining depth, plastering the wall & alround with C.M. 1:3( one of cement, three of sand) 20 mm thick and fixing 6 nos 4 1’/2” dia 6 mm thick approved quality M.S. seemless pipes as vertical posts of 32’0” length each making a frame with two numbers vertical posts together maintaining 2’0” gap between the posts by welding 3 nos. of M.S flats as bracets, the 3 nos frames embedded in cement concrete 1:5:10 (one of cement, five of sand and ten of 40 mm hard broken stone jelly) laid at 80 cm depth below ground level to a size of 90 x 90 x 20 cm thick and C.C. 1:2:4 ( One of cement, two of sand and four of 20 mm hard broken stone jelly) for the remaining depth with necessary earth work excavation, 1 no. of 4 ½ “ dia 6 mm thick best approved quality seemless pipe of length 24’0” fixed by welding on the top of poles with necessary  M.S. flats and 2 nos. of         4 ½ “ dia 6 mm thick best approved quality seemless pipe as supports to the end poles and fixed at the ends in the concrete as mentioned above and tying rigidly 2 nos. of              2 ½ “ dia rope  of length 32’0” each on the top horizontal member including laying, finishing, curing, scaffolding, painting the walls with two coats of cement paint using best approved superior quality cement paint, painting the iron work two coats using 1st class synthetic enamel paint, welding, labour charges, conveyance, hire charges for tools and plants etc complete complying with relevant standard specifications, sports authority standards and as directed by the departmental officers (the brand and quality of pipe and rope should be got approved from the E.E. before use)"
2522,484,Providing HIGH BALANCE ( as per drawing enclosed) made up of best Indian teak wood blocks and best approved quality M.S seemless pipe as furnished below.
2523,485,"a) 8 nos. M.S vertical posts, 4 ½ “ dia, 6 mm thick, 9’0” height and 2 nos. M.S vertical posts of 4 ½” dia 6 mm thick of required height to support the 45degree inclined wooden blocks with step cutting in two parallel rows at a clear distance of 8’0” to a length of 35’6” and fixing the vertical posts at equal intervals embedded in cement concrete 1:5:10 (one of cement, five of sand and ten of 40 mm stone jelly) laid at 45 cm depth below ground level to a size of 90 x 90 cm x 20 cm thick and C.C.1:2;4 (one of cement, two of sand and four of 20 mm stone jelly) for the remaining depth with necessary earth work excavation."
2524,451.3.1,Supplying and fixing of best approved quality of following dia Brass Ball valve with ISI mark Ball valve shall be got approved by the E.E.before use etc. complete complying with relevant standard specifications and as directed by the departmental officers.
2525,485.a,"b) Best Indian teak wood blocks of size 4” x 9” – 2 Nos. to a length of 35’6” each with step cutting at 45 degree inclined ends with a gap of 3’0” at the starting point of 2nd  bay from the inclined side to cross the obstacle at the top including fixing the wooden blocks with required bolts and nuts screws etc., inclusive of cost of pipes, wooden blocks, required specials, fixing in position, laying, curing, finishing and painting the iron work two coats using 1st class synthetic enamel  paint, painting the wood work two coats using 1st class synthetic enamel  paint over one coat of primer,  labour charges, conveyance etc. complete complying with relevant standard specifications, sports authority standards and as directed by the departmental officers. (The pipe, wooden blocks should be got approved from the Exe. Engr. before use)"
2526,451.3.1.c,a.20 mm dia
2527,451.3.1.d,b. 25 mm dia
2528,486,Providing MONKEY CRAWL ( as per drawing enclosed ) made up of best approved quality M.S seemless pipe 2 ½ “ dia rope and G.I stay with as furnished below.
2529,486.a,"a ) 6 nos . of vertical posts of 4 ½:” dia 6 mm thick pipe of 14’0” height in three rows at 8’0” centers ( 2 nos for each row at ends) embedded in cement concrete 1:5:10 ( one of cement, five of sand and ten of 40 mm stone jelly) laid at 45 cm depth below ground level to a size of 90 cm x 90 cm 20 cm thick and C.C. 1:2:4 ( One of cement , two of snad and four of 20 mm stone jelly) for the remaining depth with necessary earth work excavation."
2530,486.b,"b) 2 ½ “ dia rope of length 26’0” fixed rigidly at the top of the vertical posts (13’0” from G.L.) with required accessories and tying the rope in the ground with G.I. stay wire and G.I. hooks, laps, screws, bolts and nuts so as to withstand a body weight of the crawling person inclusive of cost of pipes, rope, stay wire, required specials, fixing in position, laying, curing, finishing and painting the iron work two coats using 1st class synthetic enamel paint, labour charges, conveyance etc. complete complying with relevant standard specifications, sports authority standards and as directed by the departmental officers. (The pipe, rope, stay wire etc. should be got approved from the EE. before use)"
2531,486.c,Providing Hand walk ( as per drawing enclosed ) made up of best approved quality M.S seemless pipe as furnished below.
2532,486.a(i),"a) 8 nos. of vertical posts of 41/2 “ dia 6 mm thick pipe 9’0” height in two rows with 7’0” clear gap between the rows (4 nos for each row) at equal intervals embedded in cement concrete in 1:5:10 (one of cement, five of sand and ten of 40 mm stone jelly) laid at 45 cm depth below ground level to a size of 90 cm x 90 cm x 20cm thick and C.C.1:2:4 ( one of cement, two of sand and four of 20 mm stone jelly) for the remaining depth with necessary earth work excavation."
2533,486.b(ii),b) 2 Nos. of lengthwise bars of 4 ½ “ dia 6 mm thick pipe to a length of 18’0” fixed parallel with a gap of 7’0”
2534,488,c) 10 Nos. of Horizontal bars of 2 ½ ” dia 4 mm thick pipe fixed at 2’0” intervals at an height of 8’0” from ground level.
2535,488.a,"Inclusive of cost of pipes required specials, welding, fixing in position, laying curing finishing and painting the iron work two coats using 1st class plastic emulsion paint, labour charges, conveyance etc. complete complying with relevant standard specifications, sports authority standards and as directed by the departmental officers (the pipe and materials should be got approved from the EE before use)"
2536,488.b,"Providing , fixing, jointing, welding in position of ROBBERS CLIMB ( as per drawing enclosed ) using 4 ½” dia 6 mm thick best approved quality M.S. seemless pipe 10 nos. with vertical height 4’6” above ground level and required height below ground level fixed at 9’6” intervals alround in Cement Concrete 1:5:10 ( One of cement, five of sand and ten of 40 mm hard broken stone jelly) of size 90 x 90 cm and cement 1:2:4 ( one of cement, two of sand, and four of 20 mm hard broken stone jelly) to the required depth directed and joining the top of vertical posts alround with 4 ½” dia 6 mm thick M.S. pipes and fixing ladder of breadth 5’6” and height 20’0” made up of 2 nos. of vertical M.S pipes of 4 ½” dia 6 mm thick and 12 nos. of cross bars at 1’6” centers using 3” dia 3 mm thick M.S. pipes and fixing the ladder vertical posts in cement concrete below the ground level as mentioned above inclusive of cost of pipes required specials, welding, scaffolding, earth work excavation, fixing in position, laying curing, finishing and painting the iron work two coats using 1st class synthetic enamel paint, labour charges, conveyance etc. complete complying with relevant standard specifications, sports authority standards and as directed by the departmental officers (the pipe should be got approved from the EE before use)"
2537,488.c,"Construction of balance walk (as per drawing enclosed ) with two numbers of 45 cm thick brick walls in cement mortar 1:5 (one of cement and five of sand) using chamber burnt stock bricks of size 23 x 11.4 x 7.5 cm to a length of 366 cm and height 167 cm from ground level with 366 cm clear gap between the two walls over the foundation concrete 1:5:10 ( one of cement, five of sand and ten of 40 mm hard broken stone jelly) 20 mm thick to a width of 90 cm laid at below 150 cm depth from ground level 1st footing of size 60 cm width and 60 cm depth and second footing of 45 cm width to a remaining depth in brick work in C.M 1:5    ( One of cement and five of sand) using chamber burnt stock bricks of size 23 x 11.4 x 7.5 cm, plastering the walls alround with c.m. 1:3,( one of cement and three of sand) 20 mm thick including cost and fixing 2 nos. of best Indian teak wooden joist of size 15 cm x 10 cm perpendicularly on the top of the brick walls, earth work excavation in all soils and subsoils to the required depth and refilling the foundation with the excavated earth painting the walls with cement paint two coats using best approved quality cement paint, painting the wooden joists two coats using 1st class synthetic enamel paint over one coat of primer, labour charges for wrought and putup, laying, finishing , curing etc. scaffolding etc complete complying with relevant standard specifications, sports authority standards and as directed by the departmental officers."
2538,488.d,"Providing SINGLE ROPE CRAWL ( as per drawing enclosed) using 8 nos of 4 ½ “ dia 6 mm thick best approved quality seemless pipe of 13’8” length / each provided to have four sets of poles, two poles in each row fixed like a triangle covering the width of 12’0” and length of 30’0” embedded in cement concrete 1:5:10 ( one of cement, five of sand and ten of 40mm hard broken stone jelly) 20 cm thick laid at 80 cm below ground level and C.C.1:2:4 ( One of cement , two of sand and four of 20 mm hard broken stone jelly) for the remaining depth and supported by the 2 ½ “ dia 3 mm thick M.S seemless pipe in T shape as shown in the drawing and the supports fixed at the ends in concrete as mentioned above including fixing rings and tying two nos of 2 ½ “ dia rope of 50’0” length/ each using best approved quality rope with necessary rings and tying materials to withstand the  body weight of the crawling person including of cost of pipes, rope, required specials, fixing in position, laying, curing, finishing and painting the iron work two coats using 1st class synthetic enamel  paint, labour charges, conveyance etc. complete complying with relevant standard specifications, sports authority standards and as directed by the departmental officers. (The pipe, rope, etc. should be got approved from the Exe. Engr. before use)"
2539,489, FILTER AND APPURTENANCES
2540,490,"a) Supplying and fixing the HOS MS pressure sand filter of size 2200 mm x 1500 mm with torispherical dish ends header lateral collecting system with water holding capacity of 876 m3, filteration plant capacity 150 m3/hour, turn of period of 345 minutes, flow rate 150 m3/hour at filter rating 40 m3/hour/m2 area with manhole and cover of heavy duty in top dome, design pressure of 2 kg/cm2, test pressure 3.5 kg/cm2.  Filters should be sand blasted and painted outside with 2 coats of best approved epoxy rich primer followed by two coats of best approved epoxy paint as finish.  Filter insides should be given two coats of anticorrosive bitumastic black filled with required quantities of pebbles and sand, etc. complete complying with relevant standard specifications and as directed by the departmental officers.  ( The brand and quality of filter should be got approved from the EE before use). "
2541,491,b) Supplying and fixing 150mm dia M.S. Class ‘C’ heavy quality pipe with ISI mark for frontal piping with 2 Nos. pressure gauge for inlet and outlet with ISI mark including all accessories labour charges for fixing in position as per the relevant standard specifications and as directed by the departmental officers.  ( The brand and quality of filter should be got approved from the EE before use ).  
2542,493,"c) Supplying and fixing filter media base of weight 35kgs/each required for swimming pool filter including cost and fixing in position etc., complete complying with relevant standard specifications and as directed by the departmental officers.  (The filter media bag should be got approved from the Executive Engineer before use)  Supplying and fixing best approved quality control valves with ISI mark of following dia for filter etc., complete complying with relevant standard specifications and as directed by the departmental officers.  (The brand and quality of control valves should be got approved from the Executive Engineer before use.)"
2543,493.a,a.150mm dia butterfly valve with SS disc 
2544,493.b,b. 40mm dia diaphram valve for air vent.
2545,494,Pump & Appurtenances
2546,494.a,"Supplying and fixing 200mm dia M.S. hair strainer with S.S. basket of best approved quality with ISI mark including fixing in position etc., complete complying with relevant standard specifications and as directed by the departmental officers.  (The brand and quality of strainer should be got approved from the Executive Engineer before use.)"
2547,494.b,Supplying and fixing Pump and Motor (Mono bloc) with mechanical seal with the following technical specifications.
2548,495,Capacity                   : 150 m3 / hr. Head  : 12 Mtos. Speed  : 1450 R.P.M. Make  : Kirlostear /    Beacon / KSB /  Equivalent Accessories : Air release 
2549,496,"Type  : Monobloc pump                                                                       cock, priming funnel,base plate, foundation bolts etc.Motor   :  Suitable H.P. 415V + 5% AC 3 phase 50HZ.Speed  : 1450 R.P.M.Make : Kirloskar /CG/GEL / equivalentSiemens / equivalent)Pressure gauge and sampling cock                   : 1 No."
2550,496(i),The tenderer shall give details in respect of loss of head all different points in the system.  The motor for the pump shall be so choosen so as to avoid the possibility of over load even in the event of operation under reduced head.  The selection of the pump shall taken into account maintenance of a head of 10 Mtrs.  Of water of the filter while the pump is being used for back washing the filter.  The filteration system as a whole should be capable of ensuring complete turn over of water in a period of not exceeding 8 hours under the conditions requiring filter restoration by back wash.  Water clarity and quantity shall be maintained according to IS – 3328.
2551,496(ii),"Valves : Supplying and fixing the following valves of heavy duty type best approved quality with ISI mark including cost of materials and fixing in position etc, complete complying with relevant standard specifications and as directed by the departmental officers ( the brand and quality of the valves should be got approved from the EE before use )."
2552,496.a,a.  200 mm dia C.I. foot valve ( Kirloskar / equivalent ) 
2553,496.b,b. 200 mm dia butterfly valve with SS disc Normal / equivalent
2554,497,c. 150 mm dia butterfly valve with SS disc Normal / equivalent
2555,497.d,d.150 mm dia delivery non-return valve C & R / equivalent
2556,497.e,"e.  100 mm dia drain valve, CIDF, sluice type – ISI"
2557,497.i,Pool fittings :  Supplying and fixing the following pool fittings of best approved quality with ISI mark including fixing in position complying with relevant standard specifications and as directed by the departmental officers ( the quality of the materials should be got approved from the EE before use )
2558,497.a,"a.  Adjustable inlet spreaders, ( Floor inlet ) aqua source / equipment"
2559,497.b,b.  Grating ( White colour ) for overflow Channel 295 mm wide and  22 mm depth aqua source / equivalent
2560,498,c.  Gutter drain – Aqua source / equivalent 
2561,498.d,d.  S.S. main drain grating 400 mm x 400 mm Astral /  equivalent.
2562,498.e,Supplying and fixing the following floor cleaning equipments of best approved quality with ISI mark including cost of materials fixing in position etc.  complete complying with relevant standard specifications and as directed by the departmental officers ( The quality of materials should be got approved from the EE before use ).
2563,498.a,"a) Trolley mounted self priming pump and motor (2HP) for floor cleaning (Includes pump & motor, trolley, starter, cable and 3 pin metal plug).  Kirloskar / equivalent."
2564,499,b)S.S. Vaccum head (900mm wide ) Indegenous / equivalent 
2565,499.c,c)13m Telescopic pole (Astral / equivalent 
2566,499.d,d) 50mm dia floating hose (Certikin / equivalent)  
2567,499.e,e) Leaf rake (Waterco / equivalent) 
2568,499.f,f) wall brush (450mm wide) Praher / equivalent 
2569,499.g,g) Algae brush (150mm wide with S.S. Bristles)(Praher / equivalent) 
2570,499.h,h) Pool water test kit for free chlorine and PH with sufficient reagents for 200 feets. (Praher / equivalent) 
2571,499.i,"Supplying the following best approved quality disinfectant dosing equipment etc., complete complying with relevant standard specifications (The equipments should be got approved from the EE before use)"
2572,500,a) Electronic dosing pump Milton – Ray / equivalent  
2573,500.b,b) Container for chemical storage ( 500 litres) Sintex / equivalent
2574,500.c,"Filters High rate tanks in laminated fibreglass reinforced with polyster resin with mirror finish.Equipped with six way selector side valve. Fitted with corrosion proof collectors and a diffuser hat enhances the capacity of filteration. Max working pressure 2.5 kg/cm². Test pressure 3.5 kg/cm² 750 mm dia filter flow rate of 22m³ per hour etc.,  all complete complying with relevant standard specifications and as directed by the departmental officers (The brand and quality shall be got approved from the Executive Engineer before use). "
2575,500.1,"Self - Priming Pumps Pump body and support in heat resistant plastic. Double  protected shaft with IP-55 protection. Large  cap.strainer.Maximum Output : 2.0 HP. Voltage 230/400V. I Phase  Flow rate of 22m³/hr @ 12 m. water head etc.,  all complete complying with relevant standard specifications and as directed by the departmental officers (The brand and quality shall be got approved from the Executive Engineer before use). "
2576,500.2,"Dosing Pumps Membrane Dosing Pumps HC 100 model. Electronic dosing pump to be mounted both on its base as well as hung on the wall. Pumps following CE regulations.  IP- 65 protection. Power connections : 220/240V, 50/60 Hz. The materials in contact with liquid are : Polypropylene,Viton, Teflon and PVC. Includes anti-acid plastic case. Operating panel protection provided by a transparent polycarbonate cover. Lubrication not required. Flow 5l/hr @ 7 bar etc.,  all complete complying with relevant standard specifications and as directed by the departmental officers (The brand and quality shall be got approved from the Executive Engineer before use). "
2577,500.3,"Chemical Storage Tanks Semi transparent polyethelene tank with external scale so that levels can be checked easily, capacity of tank 100lts etc.,  all complete complying with relevant standard specifications and as directed by the departmental officers (The brand and quality shall be got approved from the Executive Engineer before use). "
2578,500.4,"Agitators for easy installation in the tanks, provided with steering grip in bakelite, rod and propellor arms in PVC, length of stirring rod 900mm etc.,  all complete complying with relevant standard specifications and as directed by the departmental officers (The brand and quality shall be got approved from the Executive Engineer before use). "
2579,500.5,Pool Basin Equipments
2580,500.6,a) Pool Drains with ABS grille of best approved quality with ISI mark including cost of materials fixing in position etc.  complete complying with relevant standard specifications and as directed by the departmental officers. (The brand and quality of materials should be got approved from the EE before use).
2581,500.6.b,b) Floor Inlets (5 nos for main Pool and 1 no for kids pool) etc.  complete complying with relevant standard specifications and as directed by the departmental officers. (The brand and quality of materials should be got approved from the EE before use).
2582,500.6.c,c) Suction Nozzles (2 nos for main pool and 1 no for kids pool) etc.  complete complying with relevant standard specifications and as directed by the departmental officers. (The brand and quality of materials should be got approved from the EE before use).
2583,500.6.d,d) Wall conduits for suction Nozzles (2 nos for main pool and 1 no for kids pool) etc.  complete complying with relevant standard specifications and as directed by the departmental officers. (The brand and quality of materials should be got approved from the EE before use).
2584,500.6.e,e) Overflow type 3 steps ladders in AISI 304 etc.  complete complying with relevant standard specifications and as directed by the departmental officers. (The brand and quality of materials should be got approved from the EE before use ).
2585,500.6.f,f) Over flow gutters drains (5 nos for main pool and 2 nos for kids pool) etc.  complete complying with relevant standard specifications and as directed by the departmental officers. (The brand and quality of materials should be got approved from the EE before use).
2586,500.6.g,Under water Illumination for Main Pool
